Name	dateid01	cip_jp	cip_uk	cip_us_ca	cip_us_swe	corp_aaa_baa_us	cross_stock_us_ca	cross_stock_us_de	cross_stock_us_jp	cross_stock_us_uk	debt_equity_us	diff_debt_equity_us	diff_lenddepo_us	diff_liquidity_us	diff_m1_liquidity_us	diff_mortgageloan_us1	fin_allmarket_us1	gov10y_1y_us	gov20y_10y_us	gov20y_1y_us	gq_gdp_us	gq_gdp_w	gr12lcpi_us	gr12lip_us_sa	gr12ly_us_sa	gy_gdp_us	gy_gdp_w	i3m_us	inf_us	inf_usf	ip_us	ipus_yus	lcpi_ppi_us	lending_deposit_us	lgdp_us_w_sa	lip_sa_us	lip_us	lip_us_sa	lip_y_us_sa	liquidity_us	lrate_drate_us	lti	ly_us	ly_us_sa	m1_liquidity_us	mort_corp_us	mortgage_loan_us1	mrate_tbill_us	refer_us	sti	target	tbill_6m_3m_us	ted1y_us	ump_us	y_q	y_us	y_y	ys_q	ys_y	yus_yworld
Display_name																					quarterly growth US GDP seasonally adjusted not logged	quarterly growth world GDP seasonally adjusted not logged				annual grwoth USD GDP seasonally adjusted not logged	annual growth World GDP seasonally adjusted not logged																												quarterly growth US GDP seasonally adjusted and logged		annual growth US GDP seasonally adjusted and logged	quarterly world GDP growth seasonally adjusted and logged	annual growth world GDP seasonally adjusted and logged	
	1981-07-01	NA	-5.2091455459594728	-2.8634433746337892	0.2896818	-1.79	7.261231	0.27661103010177612	0.221092626452446	11.689285278320312	12.251631736755372	0.06367874	0.0062139	-0.003867835	2.1737942006438972e-06	0.00016710162162780762	NA	-1.38	-2.05	-3.43	0.320311779	-0.233778688	0.0280435659982402	0.01698595123542443	0.02003258345836866	7.132458197	7.070881807	18.54	10.8	10.8	6.976744	1.3233155524850594	-0.24286183800000012	0.7765273	-0.02683952249363974	4.037537851	4.013327908	4.03323232596956	1.323315552485059	0.30240073800086976	5.70	14.28	2.713488118	2.7099167734845004	0.00027560573653317988	2.45	0.28405106067657472	3.59	121.13	18.54	0.034526416	-0.82	-7.89	7.3	-0.57944351000000008	4.1675715446472168	3.769331336	-0.710873324	3.799709081	0.052892205
	1981-08-01	NA	-6.02283	-2.783113	2.377745	-1.45	6.362176	0.25380322337150572	0.208316370844841	10.48591	12.166049003601074	-0.08558273	-0.000177	-0.0010553896427154542	-1.7815036699175834e-06	8.20756e-05	NA	-0.59	-0.86	-1.45	0.64635336099999992	0.090462096	0.028319763147613472	0.01464808062604812	0.01850550733802204	4.122971096	4.0631244649999992	18.78	10.8	10.8	6.0150375366210936	1.3205132982476898	-0.235912119	0.7763503	-0.02801956148450024	4.036137952	4.035694448	4.0330653707845	1.32051329824769	0.30134534835815428	6.44	14.94	2.712088219	2.71255207253681	0.00027382423286326228	2.39	0.2841331362724304	3.27	123.32	18.78	0.030915343	-2.71	-4.78	7.2	-0.256326139	5.0315713882446288	0.854318749	-0.388183101	0.883843145	0.051637042
	1981-09-01	NA	-2.2104325294494628	-1.93	1.2436221837997436	-1.43	6.092291	0.22762538492679596	0.2111327201128006	10.600364685058594	12.440186500549316	0.27413749999999996	-0.0023587	0.00028511881828308104	-4.9457594286650416e-06	-0.0009874363	NA	-0.64	-0.76	-1.40	2.665662713	2.0986183719999996	0.02849422590297202	0.0074872517596867792	0.009840833728457432	1.957066407	1.89846467	17.82	11.0	11	3.1078610000000004	1.3150219701102	-0.22347136	0.7739916	-0.030831411378720032	4.029263672	4.037562548	4.0234665945899	1.3150219701102	0.30163046717643736	3.20	15.32	2.705213939	2.7084446244797	0.00026887847343459724	2.67	0.2831457	3.12	120.79	17.82	0.027487457	-0.93	-3.00	7.3	1.744872381	3.992568492889404	-1.24359336	1.610369919	-1.214683114	0.053441780
	1981-10-01	NA	-1.22331964969635	-2.853113	0.17938695847988128	-1.71	6.215706	0.2448082	0.2205674797296524	11.973477363586426	12.04802131652832	-0.3921652	0.032179399999999996	-0.02149123	7.915543e-06	-0.00016880000000000002	NA	-2.10	-1.27	-3.37	0.967567636	2.898184444	0.02663499414734576	0.0039590142268244832	0.0135405999583056	0.538159735	3.215928565	16.39	10.1	10.1	1.6274864673614502	1.3169659634678598	-0.22268000699999972	0.806171	-0.049230677858319808	4.021393869	4.031479307	4.02049470898704	1.3169659634678602	0.2801392376422882	1.98	15.15	2.707891924	2.70352874551918	0.00027679401682689784	3.05	0.28297689999999996	2.85	119.22	16.39	0.023742368	1.79	1.51	7.5	1.920454237	1.2604836225509644	-0.339504979	2.412014979	0.35972174899999996	0.047593816
	1981-11-01	NA	0.24347026646137236	-5.5528783798217776	-3.109090566635132	-2.17	6.469534	0.2367878556251526	0.2278835	11.666666984558106	11.888944625854492	-0.15907669999999998	-0.0027767	8.288026e-05	-2.9750517569482328e-06	-0.000941	NA	-1.39	-1.58	-2.97	-1.970787555	-0.0963555	0.02488937787063944	-0.0028014208753673308	0.0028129001180661392	3.716741883	6.479170192	13.37	9.6	9.6	-1.0771993398666382	1.3176627009992598	-0.21779703099999988	0.8033943	-0.047156822823180008	4.010272498	4.010457391	4.0144677625793096	1.31766270099926	0.2802221179008484	1.84	13.39	2.696770553	2.69680506158005	0.00027381896506994964	3.60	0.2820359	2.51	117.06	13.37	0.018262568	3.02	0.95	7.9	-1.045631831	0.74647104740142816	2.811329204	-0.568376476	3.53266246	0.045112182
	1981-12-01	NA	1.0240204334259034	0.53	-1.60443115234375	-2.32	6.574571	0.22581537067890168	0.21488313376903532	11.13079	13.910696029663086	2.0217514038085936	-0.0117928	0.0020626187324523924	-1.7651182133704424e-06	0.0018202	NA	-1.44	-1.37	-2.81	-2.7360799400000004	-0.876281162	0.023280810316134068	-0.006204810393727496	-0.0035595051812229892	-0.541564762	2.107446305	13.35	8.9	8.9	-2.3381295204162596	1.3179065160158606	-0.2159644959999998	0.7916015	-0.047752801261490064	3.999348666	3.994190838	4.0082513493478608	1.31790651601586	0.2822847366333008	0.00	13.72	2.685846721	2.690344833332	0.0002720538468565792	2.72	0.2838561	2.50	117.20	13.35	0.012759253	3.75	1.78	8.3	-1.818146703	1.4038704633712768	-1.40980384	-1.344617174	-0.71808642199999992	0.046324384
	1982-01-01	NA	-1.0448691844940186	-0.33	-0.61628570000000008	-1.92	6.688889	0.2257641	0.2066527	10.769230842590332	15.376148223876954	1.4654521942138672	0.0024313	-0.0023899972438812256	2.786284312605858e-06	0.001521879225037992	NA	-1.78	-1.66	-3.44	-9.913810531	-8.322193365	0.02199592141559664	-0.0085952594465892496	-0.01328387611828978	-7.425213694	-2.69105282	14.22	8.4	8.4	-3.4358046054840088	1.31504144068521	-0.220835321	0.7940328	-0.06073197875340996	3.981256115	3.979799404	3.9861200404556104	1.31504144068521	0.27989473938941956	1.22	14.59	2.670495663	2.6710785997704	0.00027484013116918504	2.30	0.28537797927856444	1.94	119.00	14.22	0.010832218	3.29	1.94	9.4	-8.792364697	-3.4579656124114992	-5.685014614	-8.388713812	-4.472071904	0.038099186
	1982-02-01	NA	-2.953543	2.83	2.1838133335113524	-1.91	7.259949	0.22836664319038392	0.2041144	9.784602	15.133146286010742	-0.24300193786621092	0.0054538	0.00010306060721632094	-6.819900590926408e-07	0.00049432070000000008	NA	-1.20	-2.35	-3.55	-4.98164839	-3.302891187	0.02000534244406648	-0.0038405655316482424	-0.0048157654610305904	-2.847344578	2.1209229	15.71	7.6	7.6	-1.4336917400360108	1.3095903588621498	-0.21865870399999972	0.7994866	-0.063687694677200032	4.000478839	4.00997696	3.99975866408216	1.30959035886215	0.2799978	2.50	14.43	2.689718387	2.69016830522001	0.0002741581411100924	2.33	0.28587230000000004	2.23	122.66	15.71	0.014037543	1.4	0.59	9.6	-3.798804104	-1.610965371131897	-1.021091791	-3.3730535869999996	0.251831539	0.038089764
	1982-03-01	NA	-2.5338816642761232	-0.64	1.2243852615356446	-2.24	7.3464565277099616	0.2255893647670746	0.20973755419254304	9.778166	15.38381290435791	0.25066661834716796	0.0010825	-0.003573839	-1.010281266644597e-06	0.00038735117414034904	NA	-0.23	-2.33	-2.56	10.1158219	12.06131691	0.017738466581814012	-0.0076300733173377312	-0.0091715474415342528	2.513151619	7.755548289	14.90	6.8	6.8	-3.019538	1.3091915710837698	-0.217705628	0.8005691	-0.063552561821239808	3.993516353	4.002598357	3.9921437030454496	1.30919157108377	0.27642396092414856	2.88	13.86	2.682755901	2.68295213196168	0.0002731478598434478	2.58	0.28625965118408204	2.22	125.26	14.90	0.013129856	1.1	0.10	9.5	11.48660837	-2.2837045192718504	4.440169755	11.9800064	5.783327918	0.045327976
	1982-04-01	NA	-2.6792488098144532	0.070000000000000008	0.4084779	-2.32	6.997596	0.22871734201908112	0.21316637098789216	10.1517	15.481337547302246	0.09752464	-3.99e-05	-0.00053480270000000008	5.9869489999999992e-07	-0.0014758706092834472	NA	0.98	-0.81	0.17	6.578950151	6.394437152	0.01712471918305861	-0.0086139591150411056	-0.00028575631296677352	-2.7475788	0.13234136899999998	15.21	6.5	6.5	-3.4420289999999996	1.2940323793083604	-0.21347636699999968	0.8005292	-0.065495425325960088	3.985197256	3.978151512	3.9815774279115	1.29403237930836	0.27588915824890136	2.75	13.87	2.691163355	2.68754504860314	0.00027374655473977328	2.43	0.2847837805747986	2.51	126.80	15.21	0.000957028	-1.34	-0.09	9.2	6.1528482560000008	-1.4197793006896972	-1.892911406	6.1095869049999992	-1.154658515	0.040964732
